                       List of relations
 Schema |                Name                | Type  |  Owner   
--------+------------------------------------+-------+----------
 public | activity_types                     | table | postgres
 public | clusters                           | table | postgres
 public | formative_assessments              | table | postgres
 public | learning_tasks                     | table | postgres
 public | lessons                            | table | postgres
 public | materials                          | table | postgres
 public | menu_display_conditions            | table | postgres
 public | menu_templates                     | table | postgres
 public | new_observation_page_id            | table | postgres
 public | page_action_permissions            | table | postgres
 public | page_permissions                   | table | postgres
 public | program_types                      | table | postgres
 public | role_data_scope                    | table | postgres
 public | role_page_permissions              | table | postgres
 public | schools                            | table | postgres
 public | student_enrollments                | table | postgres
 public | students                           | table | postgres
 public | study_hours_tracking               | table | postgres
 public | subjects                           | table | postgres
 public | tarl_levels                        | table | postgres
 public | tbl_tarl_classes                   | table | postgres
 public | tbl_tarl_communes                  | table | postgres
 public | tbl_tarl_countries                 | table | postgres
 public | tbl_tarl_demographics              | table | postgres
 public | tbl_tarl_districts                 | table | postgres
 public | tbl_tarl_formative_assessments     | table | postgres
 public | tbl_tarl_learning_progress_summary | table | postgres
 public | tbl_tarl_learning_tasks            | table | postgres
 public | tbl_tarl_observation_activities    | table | postgres
 public | tbl_tarl_observation_materials     | table | postgres
 public | tbl_tarl_observation_responses     | table | postgres
 public | tbl_tarl_observation_tarl_levels   | table | postgres
 public | tbl_tarl_provinces                 | table | postgres
 public | tbl_tarl_qr_codes                  | table | postgres
 public | tbl_tarl_qr_usage_log              | table | postgres
 public | tbl_tarl_roles                     | table | postgres
 public | tbl_tarl_schools                   | table | postgres
 public | tbl_tarl_sessions                  | table | postgres
 public | tbl_tarl_student_enrollments       | table | postgres
 public | tbl_tarl_students                  | table | postgres
 public | tbl_tarl_study_hours_tracking      | table | postgres
 public | tbl_tarl_subjects                  | table | postgres
 public | tbl_tarl_survey_responses          | table | postgres
 public | tbl_tarl_surveys                   | table | postgres
 public | tbl_tarl_tc_st_sch                 | table | postgres
 public | tbl_tarl_training_attendance       | table | postgres
 public | tbl_tarl_training_feedback         | table | postgres
 public | tbl_tarl_training_flow             | table | postgres
 public | tbl_tarl_training_materials        | table | postgres
 public | tbl_tarl_training_participants     | table | postgres
 public | tbl_tarl_training_programs         | table | postgres
 public | tbl_tarl_training_registrations    | table | postgres
 public | tbl_tarl_training_sessions         | table | postgres
 public | tbl_tarl_user_activities           | table | postgres
 public | tbl_tarl_users                     | table | postgres
 public | tbl_tarl_villages                  | table | postgres
 public | tbl_tarl_zones                     | table | postgres
 public | tbl_training_engage_materials      | table | postgres
 public | tbl_training_engage_programs       | table | postgres
 public | tbl_training_material_downloads    | table | postgres
 public | tbl_training_photo_activities      | table | postgres
 public | teacher_class_assignments          | table | postgres
 public | user_district_assignments          | table | postgres
 public | user_menu_customizations           | table | postgres
 public | user_menu_order                    | table | postgres
 public | user_menu_preferences              | table | postgres
 public | user_province_assignments          | table | postgres
 public | user_school_assignments            | table | postgres
 public | user_sessions                      | table | postgres
 public | user_zone_assignments              | table | postgres
(70 rows)

