id,name,district_id,dstAutoID
1,ឃុំបន្ទាយនាង,1,
2,ឃុំបត់ត្រង់,1,
3,ឃុំចំណោម,1,
4,ឃុំគោកបល្ល័ង្គ,1,
5,ឃុំគយម៉ែង,1,
6,ឃុំអូរប្រាសាទ,1,
7,ឃុំភ្នំតូច,1,
8,ឃុំរហាត់ទឹក,1,
9,ឃុំឫស្សីក្រោក,1,
10,ឃុំសំបួរ,1,
11,ឃុំសឿ,1,
12,ឃុំស្រះរាំង,1,
13,ឃុំតាឡំ,1,
14,ឃុំណាំតៅ,2,
15,ឃុំប៉ោយចារ,2,
16,ឃុំពន្លៃ,2,
17,ឃុំស្ពានស្រែង,2,
18,ឃុំស្រះជីក,2,
19,ឃុំភ្នំដី,2,
20,ឃុំឈ្នួរមានជ័យ,3,
21,ឃុំជប់វារី,3,
22,ឃុំភ្នំលៀប,3,
23,ឃុំប្រាសាទ,3,
24,ឃុំព្រះនេត្រព្រះ,3,
25,ឃុំរហាល,3,
26,ឃុំទានកាំ,3,
27,ឃុំទឹកជោរ,3,
28,ឃុំបុស្បូវ,3,
29,ឃុំចង្ហា,4,
30,ឃុំកូប,4,
31,ឃុំគុត្ដសត,4,
32,ឃុំសំរោង,4,
33,ឃុំសូភី,4,
34,ឃុំសឹង្ហ,4,
35,ឃុំអូរបីជាន់,4,
36,សង្កាត់កំពង់ស្វាយ,8,
37,សង្កាត់កោះពងសត្វ,8,
38,សង្កាត់ម្កាក់,8,
39,សង្កាត់អូរអំបិល,8,
40,សង្កាត់ភ្នៀត,8,
41,សង្កាត់ព្រះពន្លា,8,
42,សង្កាត់ទឹកថ្លា,8,
43,ឃុំបន្ទាយឆ្មារ,5,
44,ឃុំគោករមៀត,5,
45,ឃុំភូមិថ្មី,5,
46,ឃុំថ្មពួក,5,
47,ឃុំគោកកឋិន,5,
48,ឃុំគំរូ,5,
49,ឃុំផ្គាំ,6,
50,ឃុំសារង្គ,6,
51,ឃុំស្លក្រាម,6,
52,ឃុំស្វាយចេក,6,
53,ឃុំតាបែន,6,
54,ឃុំតាផូ,6,
55,ឃុំទ្រាស,6,
56,ឃុំរលួស,6,
57,ឃុំបឹងបេង,7,
58,ឃុំម៉ាឡៃ,7,
59,ឃុំអូរសំព័រ,7,
60,ឃុំអូរស្រឡៅ,7,
61,ឃុំទួលពង្រ,7,
62,ឃុំតាគង់,7,
63,សង្កាត់និមិត្ដ,9,
64,សង្កាត់ប៉ោយប៉ែត,9,
65,សង្កាត់ផ្សារកណ្តាល,9,
66,សង្កាត់អូរជ្រៅ,9,
67,សង្កាត់អូរឫស្សី,9,
68,ឃុំបឹងបត់កណ្ដាល,10,
69,ឃុំបឹងខ្នារ,10,
70,ឃុំខ្នារទទឹង,10,
71,ឃុំមេទឹក,10,
72,ឃុំអូរតាប៉ោង,10,
73,ឃុំរំលេច,10,
74,ឃុំស្នាមព្រះ,10,
75,ឃុំស្វាយដូនកែវ,10,
76,ឃុំត្រពាំងជង,10,
77,ឃុំអន្លង់វិល,11,
78,ឃុំកណ្ដៀង,11,
79,ឃុំកញ្ជរ,11,
80,ឃុំរាំងទិល,11,
81,ឃុំស្រែស្ដុក,11,
82,ឃុំស្វាយលួង,11,
83,ឃុំស្យា,11,
84,ឃុំវាល,11,
85,ឃុំកោះជុំ,11,
