id,name,name_en,province_id,prvAutoID
1,ស្រុកមង្គលបូរី,Mongkol Borei District,2,
2,ស្រុកភ្នំស្រុក,Phnum Srok District,2,
3,ស្រុកព្រះនេត្រព្រះ,Preah Netr Preah District,2,
4,ស្រុកអូរជ្រៅ,Ou Chrov District,2,
5,ស្រុកថ្មពួក,Thma Puok District,2,
6,ស្រុកស្វាយចេក,Svay Chek District,2,
7,ស្រុកម៉ាឡៃ,Malai District,2,
8,ក្រុងសិរីសោភ័ណ,Serei Saophoan Municipality,2,
9,ក្រុងប៉ោយប៉ែត,Paoy Paet Municipality,2,
10,ស្រុកបាកាន,NULL,16,
11,ស្រុកកណ្ដៀង,NULL,16,
12,ស្រុកក្រគរ,NULL,16,
13,ស្រុកភ្នំក្រវ៉ាញ,NULL,16,
14,ស្រុកវាលវែង,NULL,16,
15,ស្រុកតាលោសែនជ័យ,NULL,16,
16,ក្រុងពោធិ៍សាត់,NULL,16,
17,ស្រុកសាលាក្រៅ,NULL,14,
18,ក្រុងប៉ៃលិន,NULL,14,
19,ស្រុកអន្លង់វែង,NULL,13,
20,ស្រុកបន្ទាយអំពិល,NULL,13,
21,ស្រុកចុងកាល់,NULL,13,
22,ស្រុកត្រពាំងប្រាសាទ,NULL,13,
23,ក្រុងសំរោង,NULL,13,
24,ស្រុកបរិបូណ៌,NULL,4,
27,ស្រុកជលគីរី,NULL,4,
28,ស្រុកកំពង់លែង,NULL,4,
29,ស្រុកកំពង់ត្រឡាច,NULL,4,
30,ស្រុករលាប្អៀរ,NULL,4,
31,ស្រុកសាមគ្គីមានជ័យ,NULL,4,
32,ស្រុកទឹកផុស,NULL,4,
34,ក្រុងកំពង់ឆ្នាំង,NULL,4,
35,ស្រុកបាណន់,Banan District,1,
36,ស្រុកថ្មគោល,Thma Koul District,1,
37,ស្រុកបវេល,Bavel District,1,
38,ស្រុកឯកភ្នំ,Aek Phnum District,1,
39,ស្រុកមោងឫស្សី,Moung Ruessei District,1,
40,ស្រុករតនមណ្ឌល,Rotonak Mondol District,1,
41,ស្រុកសង្កែ,Sangkae District,1,
42,ស្រុកសំឡូត,Samlout District,1,
43,ស្រុកសំពៅលូន,Sampov Lun District,1,
44,ស្រុកភ្នំព្រឹក,Phnum Proek District,1,
45,ស្រុកកំរៀង,Kamrieng District,1,
46,ស្រុកគាស់ក្រឡ,Koas Krala District,1,
47,ស្រុករុក្ខគិរី,Rukh Kiri District,1,
48,ក្រុងបាត់ដំបង,Battambang Municipality,1,
49,ស្រុកអង្គរជ័យ,Angkor Chey District,3,
50,ស្រុកបន្ទាយមាស,Banteay Meas District,3,
51,ស្រុកឈូក,Chhuk District,3,
52,ស្រុកជុំគិរី,Chum Kiri District,3,
53,ស្រុកដងទង់,Dang Tong District,3,
54,ស្រុកកំពង់ត្រាច,Kampong Trach District,3,
55,ស្រុកទឹកឈូ,Tuek Chhou District,3,
56,ក្រុងកំពត,Kampot Municipality,3,
57,ក្រុងបូកគោ,Bokor Municipality,3,
58,ស្រុកដំណាក់ចង្អើរ,NULL,6,
59,ក្រុងកែប,NULL,6,
60,ស្រុកបុទុមសាគរ,NULL,7,
61,ស្រុកគិរីសាគរ,NULL,7,
62,ស្រុកកោះកុង,NULL,7,
63,ក្រុងខេមរភូមិន្ទ,NULL,7,
64,ស្រុកមណ្ឌលសីមា,NULL,7,
65,ស្រុកស្រែអំបិល,NULL,7,
66,ស្រុកថ្មបាំង,NULL,7,
67,ក្រុងព្រះសីហនុ,NULL,20,
68,ស្រុកព្រៃនប់,NULL,20,
69,ស្រុកស្ទឹងហាវ,NULL,20,
70,ស្រុកកំពង់សីលា,NULL,20,
71,ក្រុងកោះរ៉ុង,NULL,20,
72,ស្រុកអង្គរបូរី,NULL,24,
73,ស្រុកបាទី,NULL,24,
74,ស្រុកបូរីជលសារ,NULL,24,
75,ស្រុកគីរីវង់,NULL,24,
76,ស្រុកកោះអណ្ដែត,NULL,24,
77,ស្រុកព្រៃកប្បាស,NULL,24,
78,ស្រុកសំរោង,NULL,24,
79,ក្រុងដូនកែវ,NULL,24,
80,ស្រុកត្រាំកក់,NULL,24,
81,ស្រុកទ្រាំង,NULL,24,
82,ស្រុកកណ្ដាលស្ទឹង,NULL,5,
83,ស្រុកកៀនស្វាយ,NULL,5,
84,ស្រុកខ្សាច់កណ្ដាល,NULL,5,
