id,page_id,action_name,role,is_allowed,created_at,updated_at
1,4,view,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
2,4,view,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
3,4,view,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
4,4,view,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
5,4,view,intern,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
6,4,view,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
7,4,view,teacher,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
8,1,view,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
9,1,view,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
10,1,view,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
11,1,view,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
12,1,view,intern,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
13,1,view,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
14,1,view,teacher,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
15,12,view,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
16,12,view,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
17,12,view,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
18,12,view,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
19,12,view,intern,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
20,12,view,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
21,12,view,teacher,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
22,8,view,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
23,8,create,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
24,8,update,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
25,8,delete,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
26,8,export,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
27,8,view,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
28,8,create,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
29,8,update,collector,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
30,8,delete,collector,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
31,8,export,collector,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
32,8,view,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
33,8,create,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
34,8,update,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
35,8,delete,coordinator,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
36,8,export,coordinator,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
37,8,view,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
38,8,create,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
39,8,update,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
40,8,delete,director,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
41,8,export,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
42,8,view,intern,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
43,8,create,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
44,8,update,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
45,8,delete,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
46,8,export,intern,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
47,8,view,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
48,8,create,partner,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
49,8,update,partner,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
50,8,delete,partner,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
51,8,export,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
52,8,view,teacher,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
53,8,create,teacher,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
54,8,update,teacher,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
55,8,delete,teacher,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
56,8,export,teacher,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
57,13,view,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
58,13,view,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
59,13,view,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
60,13,view,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
61,13,view,intern,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
62,13,view,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
63,13,view,teacher,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
64,9,view,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
65,9,view,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
66,9,view,coordinator,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
67,9,view,director,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
68,9,view,intern,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
69,9,view,partner,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
70,9,view,teacher,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
71,5,view,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
72,5,export,admin,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
73,5,view,collector,t,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
74,5,export,collector,f,2025-06-15 20:15:39.464922+07,2025-06-15 20:15:39.464922+07
