id,role,page_id,is_allowed,created_at,updated_at
1,Admin,1,t,2025-06-13 11:32:03.864235+07,2025-06-13 11:32:03.864235+07
2,Admin,2,t,2025-06-13 11:32:03.864235+07,2025-06-13 11:32:03.864235+07
3,Admin,3,t,2025-06-13 11:32:03.864235+07,2025-06-13 11:32:03.864235+07
4,Admin,4,t,2025-06-13 11:32:03.864235+07,2025-06-13 11:32:03.864235+07
5,Admin,5,t,2025-06-13 11:32:03.864235+07,2025-06-13 11:32:03.864235+07
6,Admin,6,t,2025-06-13 11:32:03.864235+07,2025-06-13 11:32:03.864235+07
7,Admin,7,t,2025-06-13 11:32:03.864235+07,2025-06-13 11:32:03.864235+07
8,Admin,8,t,2025-06-13 11:32:03.864235+07,2025-06-13 11:32:03.864235+07
9,Admin,9,t,2025-06-13 11:32:03.864235+07,2025-06-13 11:32:03.864235+07
11,Admin,11,t,2025-06-13 11:32:03.864235+07,2025-06-13 11:32:03.864235+07
12,Admin,12,t,2025-06-13 11:32:03.864235+07,2025-06-13 11:32:03.864235+07
13,Teacher,1,t,2025-06-13 11:32:03.865431+07,2025-06-13 11:32:03.865431+07
14,Teacher,7,t,2025-06-13 11:32:03.865431+07,2025-06-13 11:32:03.865431+07
15,Teacher,8,t,2025-06-13 11:32:03.865431+07,2025-06-13 11:32:03.865431+07
16,Teacher,9,t,2025-06-13 11:32:03.865431+07,2025-06-13 11:32:03.865431+07
732,admin,47,t,2025-06-17 05:33:52.652112+07,2025-06-17 05:33:52.652112+07
18,Coordinator,1,t,2025-06-13 11:32:03.866273+07,2025-06-13 11:32:03.866273+07
19,Coordinator,2,t,2025-06-13 11:32:03.866273+07,2025-06-13 11:32:03.866273+07
20,Coordinator,4,t,2025-06-13 11:32:03.866273+07,2025-06-13 11:32:03.866273+07
21,Coordinator,5,t,2025-06-13 11:32:03.866273+07,2025-06-13 11:32:03.866273+07
22,Coordinator,9,t,2025-06-13 11:32:03.866273+07,2025-06-13 11:32:03.866273+07
23,Coordinator,11,t,2025-06-13 11:32:03.866273+07,2025-06-13 11:32:03.866273+07
24,Staff,1,t,2025-06-13 11:32:03.866852+07,2025-06-13 11:32:03.866852+07
25,Staff,5,t,2025-06-13 11:32:03.866852+07,2025-06-13 11:32:03.866852+07
26,Staff,12,t,2025-06-13 11:32:03.866852+07,2025-06-13 11:32:03.866852+07
27,Admin,13,t,2025-06-15 15:04:18.340062+07,2025-06-15 15:04:18.340062+07
733,admin,48,t,2025-06-17 05:33:52.652112+07,2025-06-17 05:33:52.652112+07
67,coordinator,1,t,2025-06-15 15:13:25.531406+07,2025-06-16 16:08:57.241536+07
68,coordinator,2,t,2025-06-15 15:13:25.531406+07,2025-06-16 16:08:57.241536+07
69,coordinator,3,t,2025-06-15 15:13:25.531406+07,2025-06-16 16:08:57.241536+07
70,coordinator,4,t,2025-06-15 15:13:25.531406+07,2025-06-16 16:08:57.241536+07
71,coordinator,5,t,2025-06-15 15:13:25.531406+07,2025-06-16 16:08:57.241536+07
72,coordinator,6,t,2025-06-15 15:13:25.531406+07,2025-06-16 16:08:57.241536+07
73,coordinator,7,t,2025-06-15 15:13:25.531406+07,2025-06-16 16:08:57.241536+07
74,coordinator,8,t,2025-06-15 15:13:25.531406+07,2025-06-16 16:08:57.241536+07
75,coordinator,9,t,2025-06-15 15:13:25.531406+07,2025-06-16 16:08:57.241536+07
734,admin,49,t,2025-06-17 05:33:52.652112+07,2025-06-17 05:33:52.652112+07
77,coordinator,11,t,2025-06-15 15:13:25.531406+07,2025-06-16 16:08:57.241536+07
78,coordinator,12,t,2025-06-15 15:13:25.531406+07,2025-06-16 16:08:57.241536+07
93,director,1,t,2025-06-15 15:13:40.599634+07,2025-06-16 16:09:02.681816+07
735,admin,50,t,2025-06-17 05:33:52.652112+07,2025-06-17 05:33:52.652112+07
737,director,47,t,2025-06-17 05:33:52.655283+07,2025-06-17 05:33:52.655283+07
738,director,48,t,2025-06-17 05:33:52.655283+07,2025-06-17 05:33:52.655283+07
739,director,49,t,2025-06-17 05:33:52.655283+07,2025-06-17 05:33:52.655283+07
740,director,50,t,2025-06-17 05:33:52.655283+07,2025-06-17 05:33:52.655283+07
742,partner,47,t,2025-06-17 05:33:52.656111+07,2025-06-17 05:33:52.656111+07
743,partner,48,t,2025-06-17 05:33:52.656111+07,2025-06-17 05:33:52.656111+07
744,partner,49,t,2025-06-17 05:33:52.656111+07,2025-06-17 05:33:52.656111+07
745,partner,50,t,2025-06-17 05:33:52.656111+07,2025-06-17 05:33:52.656111+07
747,coordinator,47,t,2025-06-17 05:33:52.657404+07,2025-06-17 05:33:52.657404+07
748,coordinator,48,t,2025-06-17 05:33:52.657404+07,2025-06-17 05:33:52.657404+07
749,coordinator,49,t,2025-06-17 05:33:52.657404+07,2025-06-17 05:33:52.657404+07
750,coordinator,50,t,2025-06-17 05:33:52.657404+07,2025-06-17 05:33:52.657404+07
28,admin,1,t,2025-06-15 15:12:45.980154+07,2025-06-16 16:15:22.134844+07
29,admin,2,t,2025-06-15 15:12:45.980154+07,2025-06-16 16:15:22.134844+07
30,admin,3,t,2025-06-15 15:12:45.980154+07,2025-06-16 16:15:22.134844+07
31,admin,4,t,2025-06-15 15:12:45.980154+07,2025-06-16 16:15:22.134844+07
32,admin,5,t,2025-06-15 15:12:45.980154+07,2025-06-16 16:15:22.134844+07
33,admin,6,t,2025-06-15 15:12:45.980154+07,2025-06-16 16:15:22.134844+07
34,admin,7,t,2025-06-15 15:12:45.980154+07,2025-06-16 16:15:22.134844+07
