id,vil_code,vil_name,com_code,dis_code,pro_code,xcoor,ycoor,lattitude,longtitute,created_at,updated_at,deleted_at
1,1020101,Ou Thum,10201,102,1,287800,1494700,13.5129,103.039,"","",""
2,1020102,Phnum,10201,102,1,285900,1494700,13.5127,103.022,"","",""
3,1020103,Banteay Neang,10201,102,1,285900,1494300,13.5091,103.022,"","",""
4,1020104,Kouk Pnov,10201,102,1,284900,1493500,13.5018,103.013,"","",""
5,1020105,Trang,10201,102,1,285000,1494100,13.5072,103.014,"","",""
6,1020106,Pongro,10201,102,1,284539,1493168,13.4988,103.009,"","",""
10,1020110,Samraong Pen,10201,102,1,287400,1492100,13.4893,103.036,"","",""
11,1020111,Dang Run Lech,10201,102,1,287756,1492246,13.4907,103.039,"","",""
12,1020112,Dang Run Kaeut,10201,102,1,288700,1492700,13.4948,103.048,"","",""
136,1021106,Soea,10211,102,1,276100,1481400,13.3918,102.932,"","",""
137,1021107,Boeng Touch,10211,102,1,276000,1481600,13.3936,102.931,"","",""
138,1021108,Phlov Damrei Leu,10211,102,1,276289,1482009,13.3973,102.934,"","",""
7,1020107,Kouk Tonloab,10201,102,1,285500,1491800,13.4865,103.018,"","",""
8,1020108,Trabaek,10201,102,1,286900,1491900,13.4875,103.031,"","",""
9,1020109,Khile,10201,102,1,286600,1491600,13.4848,103.029,"","",""
13,1020113,Ou Snguot,10201,102,1,285700,1489300,13.4639,103.02,"","",""
14,1020114,Prey Changha Lech,10201,102,1,286925,1489364,13.4646,103.032,"","",""
15,1020115,Prey Changha Kaeut,10201,102,1,287488,1489386,13.4648,103.037,"","",""
16,1020116,Ou Andoung Lech,10201,102,1,287790,1489419,13.4651,103.04,"","",""
17,1020117,Ou Andoung Kandal,10201,102,1,288292,1489214,13.4633,103.044,"","",""
18,1020118,Ou Andoung Kaeut,10201,102,1,289814,1489522,13.4662,103.058,"","",""
19,1020119,Kouk Kduoch,10201,102,1,291700,1489700,13.4679,103.076,"","",""
20,1020201,Khtum Reay Lech,10202,102,1,282800,1493600,13.5025,102.993,"","",""
21,1020202,Khtum Reay Kaeut,10202,102,1,282883,1493308,13.4999,102.994,"","",""
22,1020203,Anlong Thngan Kaeut,10202,102,1,282700,1494500,13.5107,102.992,"","",""
23,1020204,Anlong Thngan Lech,10202,102,1,282500,1494600,13.5116,102.99,"","",""
24,1020205,Bang Bat Lech,10202,102,1,282900,1495700,13.5215,102.994,"","",""
25,1020206,Bang Bat Kaeut,10202,102,1,283100,1495700,13.5215,102.996,"","",""
26,1020207,Bat Trang,10202,102,1,283000,1496600,13.5297,102.995,"","",""
27,1020208,Bat Trang Thum Lech,10202,102,1,282500,1496900,13.5323,102.99,"","",""
166,1030106,Chrab,10301,103,1,327300,1529500,13.83,103.402,"","",""
167,1030107,Kantuot,10301,103,1,327400,1530400,13.8381,103.403,"","",""
168,1030108,Nam Tau,10301,103,1,327400,1531100,13.8445,103.403,"","",""
169,1030109,Pongro,10301,103,1,327260,1531785,13.8506,103.402,"","",""
170,1030110,Samraong,10301,103,1,328500,1534900,13.8789,103.413,"","",""
171,1030111,Khnang,10301,103,1,329600,1536400,13.8925,103.423,"","",""
172,1030112,Thnong Khang Tboung,10301,103,1,330165,1537412,13.9017,103.428,"","",""
173,1030113,Thnong Khang Cheung,10301,103,1,331100,1538500,13.9116,103.437,"","",""
174,1030114,Slaeng,10301,103,1,326100,1526200,13.8001,103.391,"","",""
175,1030115,Takung,10301,103,1,324287,1531797,13.8506,103.374,"","",""
176,1030116,Yeang Otdam,10301,103,1,322699,1530598,13.8396,103.36,"","",""
177,1030117,Ampil Kaong,10301,103,1,323876,1532160,13.8538,103.37,"","",""
328,1060504,Prohut,10605,106,1,279400,1501600,13.5746,102.961,"","",""
329,1060505,Ou Ambel,10605,106,1,279472,1502392,13.5817,102.962,"","",""
330,1060601,Kantuot,10606,106,1,285000,1503500,13.5922,103.013,"","",""
331,1060602,Kampring,10606,106,1,286300,1503000,13.5878,103.025,"","",""
332,1060603,Phniet,10606,106,1,287800,1503100,13.5888,103.039,"","",""
333,1060604,Neak Ta,10606,106,1,288400,1502600,13.5843,103.044,"","",""
334,1060605,Thmei,10606,106,1,288736,1502719,13.5854,103.047,"","",""
335,1060606,Bangruh,10606,106,1,290500,1501800,13.5772,103.064,"","",""
336,1060607,Sala Krau,10606,106,1,289200,1506600,13.6205,103.051,"","",""
337,1060701,Chak,10607,106,1,282800,1503118,13.5886,102.993,"","",""
338,1060702,Phum Muoy,10607,106,1,281482,1503036,13.5877,102.98,"","",""
339,1060703,Phum Bei,10607,106,1,281300,1502600,13.5838,102.979,"","",""
340,1060704,Phum Buon,10607,106,1,281742,1501565,13.5744,102.983,"","",""
341,1060705,Prey Ruessei,10607,106,1,282100,1501600,13.5748,102.986,"","",""
342,1060706,Preah Ponlea,10607,106,1,282300,1502500,13.5829,102.988,"","",""
343,1060707,Kbal Spean,10607,106,1,282200,1500000,13.5603,102.987,"","",""
344,1060801,Keab,10608,106,1,277400,1501900,13.5771,102.943,"","",""
345,1060802,Tumnob Chrey,10608,106,1,276700,1501900,13.5771,102.936,"","",""
28,1020209,Bat Trang Thum Kaeut,10202,102,1,282800,1497000,13.5333,102.993,"","",""
29,1020210,Bang Bat Touch,10202,102,1,282700,1497800,13.5405,102.992,"","",""
30,1020211,Preaek Chik,10202,102,1,282300,1498600,13.5477,102.988,"","",""
31,1020301,Pralay Char,10203,102,1,279095,1487835,13.4502,102.96,"","",""
32,1020302,Rongvean Lech,10203,102,1,277867,1487797,13.4497,102.948,"","",""
33,1020303,Rongvean Kaeut,10203,102,1,279635,1487537,13.4475,102.965,"","",""
34,1020304,Chamnaom Lech,10203,102,1,277074,1487378,13.4459,102.941,"","",""
35,1020305,Chamnaom Kaeut,10203,102,1,276800,1486800,13.4406,102.938,"","",""
36,1020306,Roung Kou Daeum,10203,102,1,276500,1486000,13.4334,102.936,"","",""
37,1020307,Roung Kou Kandal,10203,102,1,279700,1484600,13.421,102.965,"","",""
38,1020308,Roung Kou Chong,10203,102,1,276500,1485800,13.4316,102.936,"","",""
39,1020309,Peam Roung Kou,10203,102,1,276500,1485500,13.4289,102.936,"","",""
40,1020310,Ta Sal,10203,102,1,276776,1484690,13.4216,102.938,"","",""
41,1020311,Chuor Khchas,10203,102,1,276455,1483834,13.4138,102.935,"","",""
42,1020312,Boeng Tras,10203,102,1,278600,1483400,13.4101,102.955,"","",""
43,1020313,Dang Trang,10203,102,1,280100,1483100,13.4075,102.969,"","",""
44,1020314,Srae Prey,10203,102,1,281600,1483900,13.4148,102.983,"","",""
45,1020315,Bos Tonloab,10203,102,1,280500,1485900,13.4328,102.973,"","",""
46,1020316,Ta  Bun,10203,102,1,279200,1484600,13.4209,102.961,"","",""
47,1020317,Kouk Ponley,10203,102,1,280700,1486500,13.4382,102.974,"","",""
48,1020318,Say Samaon,10203,102,1,266329,1487427,13.4455,102.842,"","",""
49,1020319,Damnak Preah Angk,10203,102,1,266370,1490636,13.4745,102.842,"","",""
50,1020401,Kouk Ballangk,10204,102,1,292726,1489545,13.4666,103.085,"","",""
51,1020402,Ta An,10204,102,1,293631,1489695,13.468,103.094,"","",""
52,1020403,Pralay Chrey,10204,102,1,294089,1489723,13.4683,103.098,"","",""
53,1020404,Cheung Chab,10204,102,1,294739,1490041,13.4712,103.104,"","",""
54,1020405,Phat Sandaong,10204,102,1,295306,1489932,13.4703,103.109,"","",""
55,1020406,Char Thmei,10204,102,1,296704,1490024,13.4712,103.122,"","",""
56,1020407,Ph'av Thmei,10204,102,1,297800,1490500,13.4756,103.132,"","",""
57,1020408,Ta Sal,10204,102,1,301120,1490921,13.4796,103.163,"","",""
58,1020501,Koy Maeng,10205,102,1,294300,1498800,13.5504,103.099,"","",""
59,1020502,Sdei Leu,10205,102,1,292687,1498222,13.545,103.084,"","",""
60,1020503,Phlov Siem,10205,102,1,293737,1498581,13.5484,103.094,"","",""
61,1020504,Ta Nong,10205,102,1,294092,1499012,13.5523,103.097,"","",""
62,1020505,Angkar Khmau,10205,102,1,295800,1499100,13.5532,103.113,"","",""
63,1020506,Kasang Thmei,10205,102,1,296300,1499500,13.5568,103.118,"","",""
64,1020507,Stueng Chas,10205,102,1,294900,1498900,13.5513,103.105,"","",""
65,1020508,Sdei Kraom,10205,102,1,293232,1498420,13.5469,103.089,"","",""
66,1020601,Phnum Thum Tboung,10206,102,1,285523,1485515,13.4297,103.019,"","",""
67,1020602,Phnum Prasat,10206,102,1,285523,1486876,13.442,103.019,"","",""
68,1020603,Phnum Thum Cheung,10206,102,1,285331,1486941,13.4426,103.017,"","",""
69,1020604,Chamkar Louk,10206,102,1,284548,1487099,13.4439,103.01,"","",""
70,1020605,Phnum Thum Thmei,10206,102,1,285698,1487607,13.4486,103.021,"","",""
71,1020606,Anlong Sdei,10206,102,1,286400,1487400,13.4468,103.027,"","",""
72,1020607,Kouk Thnong Kaeut,10206,102,1,287700,1487200,13.4451,103.039,"","",""
73,1020608,Kouk Thnong Kandal,10206,102,1,287100,1487300,13.4459,103.034,"","",""
74,1020609,Ou Snguot,10206,102,1,285100,1489200,13.463,103.015,"","",""
75,1020610,Ou Prasat,10206,102,1,283800,1489500,13.4656,103.003,"","",""
76,1020611,Kouk Ampil,10206,102,1,284497,1490167,13.4716,103.009,"","",""
77,1020612,Ra Chamkar Chek,10206,102,1,284986,1488223,13.4541,103.014,"","",""
78,1020613,Pou Rieng,10206,102,1,284866,1490905,13.4783,103.013,"","",""
1935,3070805,Chrouy Krabau Ti Muoy,30708,307,3,513897,1311669,11.8654,105.128,"","",""
80,1020701,Phnum Touch Tboung,10207,102,1,286000,1482500,13.4025,103.024,"","",""
81,1020702,Phnum Touch Cheung,10207,102,1,285900,1483100,13.4079,103.023,"","",""
82,1020703,Thnal Bat,10207,102,1,285700,1484800,13.4232,103.021,"","",""
83,1020704,Ou Nhor,10207,102,1,286100,1481600,13.3943,103.025,"","",""
84,1020705,Boeng Tras,10207,102,1,284100,1485500,13.4294,103.006,"","",""
85,1020706,Monourom,10207,102,1,284600,1483300,13.4096,103.011,"","",""
86,1020707,Paoy Ta Sek,10207,102,1,287995,1481622,13.3947,103.042,"","",""
87,1020708,Prey Totueng,10207,102,1,287427,1484635,13.4219,103.037,"","",""
88,1020709,Boeng Reang,10207,102,1,285100,1482700,13.4042,103.015,"","",""
